name,city,latitude,longitude,websites
Carl's Jr.,Greeley,40.39629,-104.69699,https://www.carlsjr.com/?utm_source=Yextandutm_medium=Visit%20Websiteandutm_campaign=Homepage
Del Taco,Grand Junction,39.08135,-108.58689,http://www.deltaco.com
Which Wich,Grand Junction,39.09148,-108.55411,http://www.whichwich.com
Chipotle Mexican Grill,Aurora,39.76369,-104.77671,http://www.chipotle.com
Taco Bell,Denver,39.74044,-104.92636,https://locations.tacobell.com/co/denver/5225-e-colfax-ave.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=004051andutm_content=website
McDonald's,Denver,39.73967,-105.00467,https://www.mcdonalds.com/us/en-us/location/CO/DENVER/1350-W-COLFAX/23659.html?cid=RF:YXT:RoN::Clicks
McDonald's,Denver,39.7417,-104.98829,https://www.mcdonalds.com/us/en-us/location/CO/DENVER/200-16TH-ST/4267.html?cid=RF:YXT:RoN::Clicks
Taco Bell,Fayetteville,36.085369,-94.155319,"http://www.tacobell.com/,http://www.tacobell.com"
Captain D's Seafood Kitchen,Aurora,39.70534,-104.86633,http://www.captainds.com
Shondiz,Denver,39.749107,-104.99459,"http://www.shondiz.com,http://www.shondiz.com/"
Cook-Out,Colorado Springs,38.87469,-104.8257,http://www.cookout.com
Steak 'n Shake,Colorado Springs,38.94581,-104.79873,"https://www.steaknshake.com/,http://www.steaknshake.com/locations/28963-steak-n-shake-now-open,https://www.steaknshake.com/locations/co-colorado-springs-briargate-boulevard/"
QDOBA Mexican Eats,Colorado Springs,38.80491,-104.81956,https://locations.qdoba.com/us/co/colorado-springs/1916-southgate-rd.html?utm_source=Listings
QDOBA Mexican Eats,Colorado Springs,38.93604,-104.79854,https://locations.qdoba.com/us/co/colorado-springs/7140-n-academy-blvd.html?utm_source=Listings
Burger King,Little Rock,34.772621,-92.400605,"http://www.bk.com/,http://www.bk.com"
Hardee's,Harrison,36.2597,-93.1265,"http://www.hardees.com,http://www.hardees.com/"
Shelikof Lodge Restaurant,Kodiak,57.791026,-152.40676,"http://www.shelikoflodgealaska.com,http://shelikoflodgealaska.com,http://www.shelikoflodgealaska.com/"
Taco Time,Ketchikan,55.3484,-131.67413,"http://www.tacotime.com,http://www.tacotime.com/"
Taco Bell,Kodiak,57.80987,-152.36508,http://www.tacobell.com
Taco Bell,North Pole,64.756076,-147.35411,"http://www.tacobell.com/,http://www.tacobell.com"
Pizza Mill,Ketchikan,55.3445,-131.6533,"http://www.menupix.com/,http://www.menupix.com"
Pizza Hut,Kenai,60.561,-151.22925,https://www.pizzahut.com
Pizza Hut,Fairbanks,64.8373,-147.7606,"https://www.pizzahut.com/,http://www.pizzahut.com/,https://www.pizzahut.com,https://locations.pizzahut.com/ak/fairbanks/1991-airport-way"
Sweet Pink Pepper,Anchorage,61.2076,-149.8035,"http://www.sweetpinkpepper.com/,https://sweetpinkpepper.com"
Arby's,Cottage Grove,43.800839,-123.039401,"http://www.arbys.com,http://www.arbys.com/,http://locations.arbys.com/us/or/cottage-grove/810-row-river-rd-.html"
Nathan's Famous Hot Dogs,White Plains,41.03715,-73.77877,http://nathansfamous.com
Moy's Dynasty Restaurant,La Grande,45.3222,-118.0848,"http://www.moysdynasty.com/,http://www.moysdynasty.com"
Arby's,Omaha,41.233837,-96.04496,"http://www.arbys.com,http://locations.arbys.com/us/ne/omaha/8429-w-center-rd.html,https://locations.arbys.com/us/ne/omaha/8429-w-center-rd.html"
Chick-fil-A,Leeds,33.56184,-86.52249,"https://chick-fil-a.com/leeds,http://www.chick-fil-a.com"
Jack's Family Restaurants,Lafayette,32.88285,-85.40805,http://www.eatatjacks.com
Jack's Family Restaurants,Reform,33.38099,-88.02008,http://www.eatatjacks.com
Subway,Andalusia,31.30987,-86.49962,"http://www.subway.com,http://www.subway.com/"
Krispy Krunchy Chicken,Somerville,34.44567,-86.75545,"http://www.krispykrunchy.com,http://www.krispykrunchy.com/"
Subway,Owens Cross Roads,34.57064,-86.44759,"http://www.subway.com,http://www.subway.com/"
Burger King,Opp,31.28001,-86.25011,https://locations.bk.com/al/opp/505-east-cummings-ave.html
Kfc,Oneonta,33.95433,-86.46733,"https://www.kfc.com/store-locator?query=35121,http://www.kfc.com/"
Pizza Hut,Arab,34.33266,-86.50455,"https://www.pizzahut.com/,https://locations.pizzahut.com/al/arab/639-northgate-dr-w,https://www.pizzahut.com"
Pizza Hut,Fayette,33.70698,-87.82406,"http://pizzahut.com/locations/alabama/fayette/007482,https://www.pizzahut.com/,https://www.pizzahut.com,https://locations.pizzahut.com/al/fayette/1624-temple-ave-n"
Subway,Owens Cross Roads,34.65901,-86.48167,http://www.subway.com
Jack's,Guin,33.96641,-87.91083,"http://www.eatatjacks.com/,http://www.eatatjacks.com,http://t.co/b2Y2J74Dyp"
Bates House Of Turkey Inc,Greenville,31.85179,-86.64201,http://batesturkey.com
Hardee's,Grand Bay,30.49509,-88.33755,"https://www.hardees.com/?utm_source=Yextandutm_medium=Visit%20Websiteandutm_campaign=Homepage,http://www.hardees.com/"
McDonald's,Gardendale,33.64677,-86.8234,http://www.mcdonalds.com
Sonic Drive-In,Gardendale,33.65271,-86.8105,http://www.sonicdrivein.com
McDonald's,Livingston,32.6243,-88.20632,https://www.mcdonalds.com/us/en-us/location/AL/LIVINGSTON/704-HWY-28-WEST/33547.html?cid=RF:YXT:RoN::Clicks
Pizza Hut,Livingston,32.62111,-88.1965,"https://www.pizzahut.com/,https://locations.pizzahut.com/al/livingston/423-hwy-28-east,http://www.pizzahut.com/"
Kretch's Restaurant,Marco Island,25.9509,-81.7228,"http://www.kretchs.com,http://kretchs.com/,http://www.kretchs.com/"
Subway,Hanceville,34.07124,-86.77643,http://www.subway.com
Jack's,Haleyville,34.2277,-87.62024,"http://www.eatatjacks.com,http://eatatjacks.com"
Kfc,Birmingham,33.53055,-86.71381,https://www.kfc.com/store-locator?query=35210
Church's Chicken,Eufaula,31.89056,-85.14549,http://www.churchs.com
Arby's,Toomsuba,32.4116,-88.50533,https://locations.arbys.com/us/ms/toomsuba/113-will-garrett-road.html
Sonic Drive-In,Livingston,32.60197,-88.18293,https://locations.sonicdrivein.com/al/livingston/930-n--washington.html
Jack's Family Restaurants,Collinsville,34.267956,-85.86197,http://www.eatatjacks.com
Sonic Drive-In,Centre,34.15898,-85.70809,https://locations.sonicdrivein.com/al/centre/1655-west-main.html
McDonald's,Centre,34.16017,-85.6682,https://www.mcdonalds.com/us/en-us/location/AL/CENTRE/650-CEDAR-BLUFF-RD/11223.html?cid=RF:YXT:RoN::Clicks
Big Boys,Roanoke,33.11864,-85.45195,http://www.bigboy.com
Jack's Family Restaurants,Demopolis,32.49789,-87.84711,http://www.eatatjacks.com
Jack's Family Restaurants,Centreville,32.950325,-87.11924,http://www.eatatjacks.com
Bangkok Thai Cuisine,Mobile,30.6758,-88.1419,"http://www.ordercounter.com,http://www.ordercounter.com/"
Dreamland Bar B Que,Tuscaloosa,33.1565,-87.5163,"https://www.dreamlandbbq.com/,https://www.dreamlandbbq.com,http://www.dreamlandbbq.com/"
Alfonso's Pizza Italian Restaurant,Decatur,34.564526,-86.972877,"http://www.thealfonsospizza.com/,http://www.thealfonsospizza.com"
Sonic Drive-In,Atmore,31.106,-87.47561,https://locations.sonicdrivein.com/al/atmore/45-lakeview-circle.html
Jack's Family Restaurants,Aliceville,33.12734,-88.14985,http://www.eatatjacks.com
Jack's Family Restaurants,Adamsville,33.60968,-86.96368,http://www.eatatjacks.com
Arby's,Pell City,33.60972,-86.28005,http://www.arbys.com
Dairy Queen,Oneonta,33.95857,-86.46367,http://www.dairyqueen.com
Jack's Family Restaurants,Alexandria,33.78078,-85.89649,http://www.eatatjacks.com
Arby's,Mobile,30.68421,-88.22378,https://locations.arbys.com/us/al/mobile/7750-airport-blvd.html
Whataburger,Mobile,30.76164,-88.07332,https://locations.whataburger.com/al/chickasaw/100-north-craft-highway.html/?utm_source=yextpagesandutm_medium=locallistingsandutm_campaign=yextpages
Taco Bell,Birmingham,33.3848,-86.73919,https://locations.tacobell.com/al/hoover/5192-caldwell-mill-rd.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=029169andutm_content=website
Pizza Hut,Calera,33.15574,-86.74734,"https://locations.pizzahut.com/al/calera/136-marketplace-circle,https://www.pizzahut.com/,https://www.pizzahut.com"
Jack's Family Restaurants,Fort Payne,34.46644,-85.70053,http://www.eatatjacks.com
Sonic Drive-In,Rainsville,34.49215,-85.84452,https://locations.sonicdrivein.com/al/rainsville/208-main-street-east.html
Pizza Hut,Rainsville,34.4957,-85.84983,"https://www.pizzahut.com/,https://locations.pizzahut.com/al/rainsville/200-main-st-w,https://www.pizzahut.com"
Subway,Troy,31.78473,-85.96336,
Pizza Hut,Bessemer,33.45073,-86.97938,"http://www.pizzahut.com,https://locations.pizzahut.com/al/hueytown/3029-allison-bonnett-memorial-dr"
Jack's Family Restaurants,Dora,33.75616,-87.06325,http://www.eatatjacks.com
Jack's Family Restaurants,Jasper,33.85424,-87.28822,http://www.eatatjacks.com
Guthries,Jasper,33.84866,-87.28365,http://www.guthrieschicken.com
