name,city,latitude,longitude,url
Kilian Stuba,Kleinwalsertal,47.34858,10.17114,https://guide.michelin.com/at/en/vorarlberg/kleinwalsertal/restaurant/kilian-stuba
Pfefferschiff,Hallwang,47.83787,13.07917,https://guide.michelin.com/at/en/salzburg-region/hallwang/restaurant/pfefferschiff
Esszimmer,Salzburg,47.80685,13.03409,https://guide.michelin.com/at/en/salzburg-region/salzburg/restaurant/esszimmer
Carpe Diem,Salzburg,47.80001,13.04006,https://guide.michelin.com/at/en/salzburg-region/salzburg/restaurant/carpe-diem
Edvard,Wien,48.216503,16.36852,https://guide.michelin.com/at/en/vienna/wien/restaurant/edvard
Das Loft,Wien,48.21272,16.37931,https://guide.michelin.com/at/en/vienna/wien/restaurant/das-loft
Pramerl & the Wolf,Wien,48.20945,16.37174,https://guide.michelin.com/at/en/vienna/wien/restaurant/pramerl-the-wolf
Walter Bauer,Wien,48.20923,16.37672,https://guide.michelin.com/at/en/vienna/wien/restaurant/walter-bauer
SHIKI,Wien,48.204067,16.37098,https://guide.michelin.com/at/en/vienna/wien/restaurant/shiki
Tian,Wien,48.20513,16.37456,https://guide.michelin.com/at/en/vienna/wien/restaurant/tian
aend,Wien,48.18957,16.34115,https://guide.michelin.com/at/en/vienna/wien/restaurant/aend
Le Ciel by Toni Mörwald,Wien,48.20209,16.37156,https://guide.michelin.com/at/en/vienna/wien/restaurant/le-ciel-by-toni-morwald
Chez TJ,South San Francisco,37.39468,-122.08044,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/chez-tj
Protégé,South San Francisco,37.427853,-122.14362,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/protege
Madera,San Francisco,37.42014,-122.21151,https://guide.michelin.com/us/en/california/san-francisco/restaurant/madera
The Village Pub,San Francisco,37.42897,-122.25178,https://guide.michelin.com/us/en/california/san-francisco/restaurant/the-village-pub
Plumed Horse,South San Francisco,37.25648,-122.03537,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/plumed-horse
Wakuriya,San Francisco,37.52114,-122.3366,https://guide.michelin.com/us/en/california/san-francisco/restaurant/wakuriya
Sushi Yoshizumi,San Francisco,37.565075,-122.3211,https://guide.michelin.com/us/en/california/san-francisco/restaurant/sushi-yoshizumi
Rasa,San Francisco,37.577522,-122.345985,https://guide.michelin.com/us/en/california/san-francisco/restaurant/rasa
Maum,South San Francisco,37.72669,-122.414215,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/maum
Al's Place,San Francisco,37.748924,-122.42013,https://guide.michelin.com/us/en/california/san-francisco/restaurant/al-s-place
Aster,San Francisco,37.755054,-122.423134,https://guide.michelin.com/us/en/california/san-francisco/restaurant/aster
Omakase,San Francisco,37.77077,-122.40298,https://guide.michelin.com/us/en/california/san-francisco/restaurant/omakase
Commonwealth,San Francisco,37.761395,-122.41946,https://guide.michelin.com/us/en/california/san-francisco/restaurant/commonwealth
Luce,San Francisco,37.78194,-122.40498,https://guide.michelin.com/us/en/california/san-francisco/restaurant/luce
Birdsong,San Francisco,37.779495,-122.41048,https://guide.michelin.com/us/en/california/san-francisco/restaurant/birdsong
In Situ,San Francisco,37.785633,-122.40113,https://guide.michelin.com/us/en/california/san-francisco/restaurant/in-situ
Mourad,San Francisco,37.78695,-122.39987,https://guide.michelin.com/us/en/california/san-francisco/restaurant/mourad
Hashiri,San Francisco,37.783062,-122.40754,https://guide.michelin.com/us/en/california/san-francisco/restaurant/hashiri
