name,city,latitude,longitude,url
SENNS.Restaurant,Salzburg,47.83636,13.06389,https://guide.michelin.com/at/en/salzburg-region/salzburg/restaurant/senns-restaurant
Ikarus,Salzburg,47.79536,13.00695,https://guide.michelin.com/at/en/salzburg-region/salzburg/restaurant/ikarus
Mraz & Sohn,Wien,48.23129,16.37637,https://guide.michelin.com/at/en/vienna/wien/restaurant/mraz-sohn
Konstantin Filippou,Wien,48.21056,16.37996,https://guide.michelin.com/at/en/vienna/wien/restaurant/konstantin-filippou
Silvio Nickol Gourmet Restaurant,Wien,48.20558,16.37693,https://guide.michelin.com/at/en/vienna/wien/restaurant/silvio-nickol-gourmet-restaurant
Steirereck im Stadtpark,Wien,48.20229,16.3805,https://guide.michelin.com/at/en/vienna/wien/restaurant/steirereck-im-stadtpark
Baumé,South San Francisco,37.4285,-122.14272,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/baume
Commis,San Francisco,37.82476,-122.25505,https://guide.michelin.com/us/en/california/san-francisco/restaurant/commis
Californios,San Francisco,37.75555,-122.417145,https://guide.michelin.com/us/en/california/san-francisco/restaurant/californios
Lazy Bear,San Francisco,37.760204,-122.41969,https://guide.michelin.com/us/en/california/san-francisco/restaurant/lazy-bear
Saison,San Francisco,37.76327,-122.41543,https://guide.michelin.com/us/en/california/san-francisco/restaurant/saison
Campton Place,San Francisco,37.78923,-122.40665,https://guide.michelin.com/us/en/california/san-francisco/restaurant/campton-place
Coi,San Francisco,37.79812,-122.40331,https://guide.michelin.com/us/en/california/san-francisco/restaurant/coi
Acquerello,San Francisco,37.79167,-122.42131,https://guide.michelin.com/us/en/california/san-francisco/restaurant/acquerello
Urasawa,Los Angeles,34.067352,-118.40067,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/urasawa
Sushi Ginza Onodera,Los Angeles,34.08238,-118.37654,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/sushi-ginza-onodera559850
Somni,Los Angeles,34.070095,-118.37649,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/somni
Providence,Los Angeles,34.083523,-118.33019,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/providence
n/naka,Los Angeles,34.02526,-118.41206,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/n-naka
Vespertine,Los Angeles,34.024204,-118.38166,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/vespertine
Smyth,Chicago,41.885,-87.660736,https://guide.michelin.com/us/en/illinois/chicago/restaurant/smyth
Oriole,Chicago,41.886196,-87.64513,https://guide.michelin.com/us/en/illinois/chicago/restaurant/oriole
Acadia,Chicago,41.85904,-87.62562,https://guide.michelin.com/us/en/illinois/chicago/restaurant/acadia
KOKS,Leynar,62.13667,-7.022025,https://guide.michelin.com/dk/en/faroe-islands/leynar/restaurant/koks558780
Henne Kirkeby Kro,Henne,55.72682,8.242021,https://guide.michelin.com/dk/en/southern-denmark/henne/restaurant/henne-kirkeby-kro
a‚o‚c,København,55.68305,12.58921,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/a%E2%80%9Ao%E2%80%9Ac
noma,København,55.68332,12.61006,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/noma
Kadeau Copenhagen,København,55.67219,12.58848,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/kadeau-copenhagen
Spondi,Athína,37.96525,23.742971,https://guide.michelin.com/gr/en/attica/athina/restaurant/spondi
Sun Tung Lok,Hong Kong,22.30099,114.17221,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/sun-tung-lok
Yan Toh Heen,Hong Kong,22.293337,114.17395,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/yan-toh-heen
Tin Lung Heen,Hong Kong,22.30357,114.16007,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/tin-lung-heen
Tenku RyuGin,Hong Kong,22.30331,114.16021,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/tenku-ryugin
Forum,Hong Kong,22.281616,114.1824,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/forum
Sushi Saito,Hong Kong,22.286467,114.15677,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/sushi-saito
Pierre,Hong Kong,22.282127,114.15948,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/pierre
Ying Jee Club,Hong Kong,22.284338,114.156654,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/ying-jee-club
Écriture,Hong Kong,22.28315,114.1554,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/ecriture
Ta Vie,Hong Kong,22.282766,114.15529,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/ta-vie
Amber,Hong Kong,22.280596,114.15764,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/amber569032
Kashiwaya,Hong Kong,22.280643,114.15674,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/kashiwaya
Onyx,Budapest,47.49712,19.05067,https://guide.michelin.com/hu/en/central-hungary/budapest/restaurant/onyx
Feng Wei Ju,Macau,22.18996,113.54794,https://guide.michelin.com/mo/en/macau-region/macau/restaurant/feng-wei-ju
Golden Flower,Macau,22.18753,113.54806,https://guide.michelin.com/mo/en/macau-region/macau/restaurant/golden-flower
Mizumi (Macau),Macau,22.188755,113.54488,https://guide.michelin.com/mo/en/macau-region/macau/restaurant/mizumi-macau
The Tasting Room,Macau,22.14958,113.56505,https://guide.michelin.com/mo/en/macau-region/macau/restaurant/the-tasting-room
Alain Ducasse at Morpheus,Macau,22.14293,113.563774,https://guide.michelin.com/mo/en/macau-region/macau/restaurant/alain-ducasse-at-morpheus
L'Atelier de Joël Robuchon,New York,40.742905,-74.00769,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/l-atelier-de-joel-robuchon562505
