"1","Christian Vincen","m","1","2205"
"2","Chris Walas","m","2",\N
"3","Gordon Dougla","m","3","135"
"4","Anthony Veiller","m","3","99"
"5","Rogelio A. González","m","5","1914"
"6","Herb Wallerstein","m","3","135"
"7","Monty Banks","m","6","1895"
"8","Franklin Dyall","m","7","3236"
"9","Carlo Lizzani","m","8","8"
"10","Anand Ranga","m","9",\N
"11","Johnnie To","m","10",\N
"12","Henry Ephron","m","3","135"
"13","R. N. Jayagopal","m","11","36"
"14","D. W. Griffith","m","12","99"
"15","Piero Ballerini","m","13","8"
"16","Ari Folman","m","14",\N
"17","Blackie Ko","m",\N,"202"
"18","Nanabhai Bhatt","m","15","74"
"19","Richard Thorpe","m","16","766"
"20","Philip Dunn","m","17","2006"
"21","David Lowell Rich","m","3","394"
"22","Tod Browning","m","18","2006"
"23","Daniel Mann","m","19","135"
"24","Gordon Hessler","m","20","28"
"25","Christopher Doyle","m","21",\N
"26","Pen Tennyson","m","22",\N
"27","Harry Essex","m","3","135"
"28","Alexis Wajsbrot","m","1",\N
"29","Webster Campbell","m","23",\N
"30","Tancred Ibsen","m",\N,"447"
"31","E. W. Swackhamer","m","24","20"
"32","Ralph Murphy","m",\N,"135"
"33","Subodh Mukherjee","m","25","74"
"34","Andrew Haigh","m","26",\N
"35","James Kirkwood Sr.","m","27","3732"
"36","Jack Gold","m","28",\N
"37","José Giovanni","m","1","1517"
"38","Atom Egoyan","m","29",\N
"39","Max Obal","m","30","6128"
"40","Terence Fisher","m","31","1040"
"41","Andrew Marton","m","32","1205"
"42","Alfred E. Green","m","33","135"
"43","Crispian Mills","m","34",\N
"44","Patrick Creadon","m","2",\N
"45","Ashwni Dhir","m","35",\N
"46","Siddharth Chandrasekhar","m","36",\N
"47","Michael Benso","m","37",\N
"48","Jon Cassar","m","38",\N
"49","Carlos Izquierdo","m","39",\N
"50","Ramchandra P. N.","m","40",\N
"51","Herbert Mason","m","41","28"
"52","Arjun Sarja","m","42",\N
"53","Rajasekha","m","43",\N
"54","Residente","m","44",\N
"55","A. B. Raj","m","45",\N
"56","Abdur Rashid Kardar","m","46","74"
"57","Lewis Schoenbrun","m","47",\N
"58","Tetsuya Endo","m","48",\N
"59","Maurice Tourneur","m","1","1"
"60","Spike Jonze","m","49",\N
"61","Gianni Amelio","m","50",\N
"62","Ishirō Honda","m",\N,"48"
"63","Krzysztof Kieślowski","m","51","51"
"64","K. S. Gopalakrishnan","f",\N,"36"
"65","David Lean","m","52","7675"
"66","Domenico Paolella","m","53","8"
"67","Lupu Pick","m",\N,"20"
"68","Giuliano Biagetti","m","54",\N
"69","Ryan Phillippe","m","55",\N
"70","Rudolf Biebrach","m","56","20"
"71","Lloyd Corrigan","m","57","3732"
"72","John Waters","m","58",\N
"73","Gerard Damiano","m",\N,"5295"
"74","Martin Frič","m","59",\N
"75","John Harlo","m",\N,"28"
"76","J. D. Chakravarthy","m","60",\N
"77","Patrick Bouchitey","m","61",\N
"78","Jean Delannoy","m","62","7676"
"79","Marshall Neilan","m","63","135"
"80","Sanjay Surkar","m","64","1206"
"81","Ruud van Hemert","m","65",\N
"82","Catherine Breillat","f","66",\N
"83","Ronald Neame","m","28","135"
"84","Erich von Stroheim","m","67","7677"
"85","Louis King","m","68","135"
"86","Oliver Hardy","m","69","496"
"87","Pier Paolo Pasolini","m","70",\N
"88","Alexander Payne","m","71",\N
"89","Vincent Sherman","m","67","135"
"90","Allison Anders","f","72",\N
"91","Victor Tourjansky","m","73","37"
"92","Rakesh Roshan","m","74",\N
"93","Alexander Korda","m",\N,"172"
"94","Andrei Konchalovsky","m","75",\N
"95","George Whale","m","76","3757"
"96","Mai Zetterling","f",\N,"28"
"97","Stefan Schwartz","m","28",\N
"98","Shahram Alidi","m","77",\N
"99","Ettore Maria Fizzarotti","m","78","8"
"100","William Hanna","m","79","135"
"101","Ben F. Wilson","m","80","1049"
"102","Bashar Shbib","m","81",\N
"103","Shaji Kailas","m","82",\N
"104","Peter H. Hunt","m","83",\N
"105","George Cukor","m","84","135"
"106","Michael Spence","m","85",\N
"107","Ritwik Ghatak","m","86","337"
"108","Erich Engel","m","87","944"
"109","Asrani","m","88",\N
"110","Preston Sturges","m","2","3"
"111","Charles Haid","m","57",\N
"112","Bab","m","82",\N
"113","Wilfred Jackson","m","2","6737"
"114","Javier Fuentes-León","m","89",\N
"115","Sam Wood","m","90","99"
